name,href,location
Baba Moghaddam,https://www.rekhta.org/authors/baba-moghaddam,"<a href=""/domicile/iran/tehran/na/na/poets"">Tehran</a>"
Babar Ali Asad,https://www.rekhta.org/poets/babar-ali-asad,"<a href=""/domicile/pakistan/punjab/other-57/faisalabad/poets"">Faisalabad</a>"
Babar Rehman Shah,https://www.rekhta.org/poets/babar-rehman-shah,
Babu Ladli Lal Laeq,https://www.rekhta.org/authors/babu-ladli-lal-laeq,"<a href=""/domicile/india/uttar-pradesh/other-44/mainpuri/poets"">Mainpuri</a>"
Baburao Bagul,https://www.rekhta.org/authors/baburao-bagul,"<a href=""/domicile/india/maharashtra/other-30/nashik/poets"">Nashik</a>"
Badar Jamali,https://www.rekhta.org/poets/badar-jamali,"<a href=""/domicile/india/tamil-nadu/na/na/poets"">Tamil Nadu</a>"
Badar Shamsi,https://www.rekhta.org/authors/badar-shamsi,
Badiuzzaman Khawar,https://www.rekhta.org/poets/badiuzzaman-khawar,"<a href=""/domicile/india/maharashtra/other-30/ratnagiri/poets"">Ratnagiri</a>"
Badiuzzaman Sahar,https://www.rekhta.org/authors/badiuzzaman-sahar,"<a href=""/domicile/india/bihar/other-50/patna/poets"">Patna</a>"
Badnam Nazar,https://www.rekhta.org/poets/badnam-nazar,"<a href=""/domicile/india/bihar/other-50/sheikhpura/poets"">Sheikhpura</a>"
Badr Azimabadi,https://www.rekhta.org/authors/badr-azimabadi,
Badr Jameel,https://www.rekhta.org/poets/badr-jameel,
Badr Mohammadi,https://www.rekhta.org/authors/badr-mohammadi,"<a href=""/domicile/india/bihar/other-50/vaishali/poets"">Vaishali</a>"
Badr Muneeruddin,https://www.rekhta.org/poets/badr-muneeruddin,"<a href=""/domicile/pakistan/punjab/other-57/khushab/poets"">Khushab</a>"
Badr Wasti,https://www.rekhta.org/poets/badr-wasti,
Badr-e-Alam Khalish,https://www.rekhta.org/poets/badr-e-alam-khalish,"<a href=""/domicile/india/jharkhand/other-62/jamshedpur/poets"">Jamshedpur</a>"
Badr-e-Alam Khan Azmi,https://www.rekhta.org/authors/badr-e-alam-khan-azmi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Badrinath Upadhyay 'Prem Dhan',https://www.rekhta.org/poets/badrinath-upadhyay-prem-dhan,
Badrul Hasan Badar,https://www.rekhta.org/poets/badrul-hasan-badar,
Baeem Hairati,https://www.rekhta.org/poets/baeem-hairati,
Bagh Husain Kamal,https://www.rekhta.org/poets/bagh-husain-kamal,
Bahadur Shah Zafar,https://www.rekhta.org/poets/bahadur-shah-zafar,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Bahadur Singh Kam Badayuni,https://www.rekhta.org/poets/bahadur-singh-kam-badayuni,
Baharunnisa Bahar,https://www.rekhta.org/authors/baharunnisa-bahar,"<a href=""/domicile/pakistan/punjab/other-57/multan/poets"">Multan</a>"
Bahauddin Kaleem,https://www.rekhta.org/poets/bahauddin-kaleem,
Bahram ji,https://www.rekhta.org/poets/bahram-ji,
Bahram Tariq,https://www.rekhta.org/poets/bahram-tariq,
Bahzad Fatami,https://www.rekhta.org/authors/bahzad-fatami,
Baig Ehsas,https://www.rekhta.org/authors/baig-ehsas,"<a href=""/domicile/india/telangana/other-55/hyderabad/poets"">Hyderabad</a>"
Bakhsh Layalpuri,https://www.rekhta.org/poets/bakhsh-layalpuri,"<a href=""/domicile/united-kingdom/other-22/other-13/london/poets"">London</a>"
Bakhtiyar Ziya,https://www.rekhta.org/poets/bakhtiyar-ziya,"<a href=""/domicile/india/madhya-pradesh/other-17/bhopal/poets"">Bhopal</a>"
Bakul Dev,https://www.rekhta.org/poets/bakul-dev,"<a href=""/domicile/india/rajasthan/other-15/jaipur/poets"">Jaipur</a>"
Bal Krishn,https://www.rekhta.org/poets/bal-krishn-1,
Bal Mukund Besabr,https://www.rekhta.org/poets/bal-mukund-besabr,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Bal Swaroop Rahi,https://www.rekhta.org/poets/bal-swaroop-rahi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Balbir Rathi,https://www.rekhta.org/poets/balbir-rathi,
Balbir Singh Rang,https://www.rekhta.org/poets/balbir-singh-rang,
Baldev Raaj,https://www.rekhta.org/poets/baldev-raaj,
Baldev singh Hamdam,https://www.rekhta.org/poets/baldev-singh-hamdam,"<a href=""/domicile/india/haryana/other-20/kurukshetra/poets"">Kurukshetra</a>"
Balmohan panday,https://www.rekhta.org/poets/balmohan-panday,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Balraj Bakshi,https://www.rekhta.org/poets/balraj-bakshi,
Balraj Hairat,https://www.rekhta.org/poets/balraj-hairat,
Balraj Hayat,https://www.rekhta.org/poets/balraj-hayat,
Balraj Komal,https://www.rekhta.org/poets/balraj-komal,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Balraj Kumar,https://www.rekhta.org/poets/balraj-kumar,
Balraj Menra,https://www.rekhta.org/authors/balraj-menra,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Balraj Verma,https://www.rekhta.org/authors/balraj-verma,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Balwan Singh Azar,https://www.rekhta.org/poets/balwan-singh-azar,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Captain Alexander Hederly Azad,https://www.rekhta.org/poets/captain-alexander-hederly-azad,
Captain Damingo Paul Lizwa,https://www.rekhta.org/poets/captain-damingo-paul-lizwa,
Captain Syed Fayyaz Mahmood,https://www.rekhta.org/authors/captain-syed-fayyaz-mahmood,"<a href=""/domicile/pakistan/na/na/na/poets"">Pakistan</a>"
Chakbast Brij Narayan,https://www.rekhta.org/poets/chakbast-brij-narayan,"<a href=""/domicile/india/uttar-pradesh/other-44/lucknow/poets"">Lucknow</a>"
Chaman Bhatnagar,https://www.rekhta.org/poets/chaman-bhatnagar,
Chaman Lal Chaman,https://www.rekhta.org/poets/chaman-lal-chaman,"<a href=""/domicile/united-kingdom/other-22/other-13/london/poets"">London</a>"
Chand Akbarabadi,https://www.rekhta.org/poets/chand-akbarabadi,"<a href=""/domicile/india/uttar-pradesh/other-44/agra/poets"">Agra</a>"
Chandar Bhan Kaifi Dehelvi,https://www.rekhta.org/poets/chandar-bhan-kaifi-dehelvi,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Chander Wahid,https://www.rekhta.org/poets/chander-wahid,"<a href=""/domicile/india/other-10/other/delhi/poets"">Delhi</a>"
Chandni Pandey,https://www.rekhta.org/poets/chandni-pandey,"<a href=""/domicile/india/uttar-pradesh/other-44/kanpur/poets"">Kanpur</a>"
Chandra Parkash Jauhar Bijnauri,https://www.rekhta.org/poets/chandra-parkash-jauhar-bijnauri,"<a href=""/domicile/pakistan/punjab/other-57/lahore/poets"">Lahore</a>"
Chandra Parkash Shad,https://www.rekhta.org/poets/chandra-parkash-shad,
